id,name,state,created_at,updated_at,url,tags,config.conv.type,config.data.dataset_name,config.data.context_length,config.data.dataset_config,config.data.val_token_limit,config.data.train_token_limit,config.data.eval_context_lengths,config.seed,config.model.d_model,config.model.dropout,config.model.n_heads,config.model.n_layers,config.model.attention.type,config.model.attention.block_size,config.model.attention.window_size,config.model.attention.num_kv_heads,config.model.vocab_size,config.model.max_seq_len,config.model.ff_multiplier,config.logging.wandb.tags,config.logging.wandb.group,config.logging.wandb.enable,config.logging.wandb.entity,config.logging.wandb.project,config.trainer.use_amp,config.trainer.grad_clip,config.trainer.max_steps,config.trainer.batch_size,config.trainer.num_workers,config.trainer.eval_batches,config.trainer.warmup_steps,config.trainer.weight_decay,config.trainer.eval_interval,config.trainer.learning_rate,config.experiment.name,config.pos_encoding.type,summary._runtime,summary._wandb,config.conv.kernel_size,summary._step,summary._timestamp,summary.optim/lr,summary.step,summary.system/peak_gpu_mem_gb,summary.system/tokens_per_sec,summary.train/loss,summary.val/loss,summary.val/perplexity,config.pos_encoding.max_relative_positions,config.conv.replace_layers,config.trainer.checkpoint_interval,summary.extrap/loss_L1024,summary.extrap/loss_L2048,summary.extrap/loss_L512,summary.extrap/ppl_L1024,summary.extrap/ppl_L2048,summary.extrap/ppl_L512,config.trainer.inference_benchmark_batches,summary.stability/grad_norm,summary.stability/train_loss_is_finite,summary.stability/val_loss_is_finite,summary.system/inference_tokens_per_sec,summary.system/sec_per_virtual_epoch,summary.system/virtual_epoch,config.model.attention.linear_chunk_size,summary.val/best_loss,summary.val/best_perplexity,summary.val/best_step,config.resume,config.model.attention.linear_feature_eps,config.model.attention.linear_output_clip,config.model.attention.aft_variant,config.model.attention.aft_chunk_size
fpx3ytuv,coreml_p2_sliding_window_ctx2048,finished,2026-04-16T11:55:17Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/fpx3ytuv,,none,wikitext,2048,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,sliding_window,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,900,2,2,40,100,0.01,100,0.0003,coreml_p2_sliding_window_ctx2048,absolute,279.0,{'runtime': 279},3.0,9.0,1776340796.129573,3.000104093350147e-05,900.0,5.150421619415283,14421.091754368914,10.069381713867188,9.581809282302856,14498.627696408385,,,,,,,,,,,,,,,,,,,,,,,,,
x5u6sl76,coreml_p2_sliding_window_ctx4096,finished,2026-04-16T12:00:10Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/x5u6sl76,,none,wikitext,4096,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,sliding_window,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,600,1,2,40,100,0.01,100,0.0003,coreml_p2_sliding_window_ctx4096,absolute,269.0,{'runtime': 269},3.0,6.0,1776341080.15457,3.000266478442149e-05,600.0,7.1865620613098145,10074.103049441508,12.962591171264648,12.24867765903473,208705.126980796,,,,,,,,,,,,,,,,,,,,,,,,,
sdouxf3e,coreml_p2_sparse_block_ctx512,finished,2026-04-16T12:04:55Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/sdouxf3e,,none,wikitext,512,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,8,2,40,100,0.01,100,0.0003,coreml_p2_sparse_block_ctx512,absolute,249.0,{'runtime': 249},3.0,12.0,1776341344.894083,3.0000550576730773e-05,1200.0,3.647210121154785,21798.31053369284,9.010597229003906,7.806179118156433,2455.729434656883,,,,,,,,,,,,,,,,,,,,,,,,,
7qxvt8b0,coreml_p2_sparse_block_ctx1024,finished,2026-04-16T12:09:20Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/7qxvt8b0,,none,wikitext,1024,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,4,2,40,100,0.01,100,0.0003,coreml_p2_sparse_block_ctx1024,absolute,284.0,{'runtime': 284},3.0,12.0,1776341645.150959,3.0000550576730773e-05,1200.0,4.141136646270752,18853.812327313364,9.581448554992676,7.866373360157013,2608.0898135305547,,,,,,,,,,,,,,,,,,,,,,,,,
upnuo7eo,coreml_p2_sparse_block_ctx2048,finished,2026-04-16T12:14:20Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/upnuo7eo,,none,wikitext,2048,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,900,2,2,40,100,0.01,100,0.0003,coreml_p2_sparse_block_ctx2048,absolute,281.0,{'runtime': 281},3.0,9.0,1776341941.8761835,3.000104093350147e-05,900.0,5.145538806915283,14413.832135458351,10.270468711853027,9.37662093639374,11809.043749975166,,,,,,,,,,,,,,,,,,,,,,,,,
kylxiisw,coreml_p2_sparse_block_ctx4096,finished,2026-04-16T12:19:16Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/kylxiisw,,none,wikitext,4096,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,600,1,2,40,100,0.01,100,0.0003,coreml_p2_sparse_block_ctx4096,absolute,268.0,{'runtime': 268},3.0,6.0,1776342225.613271,3.000266478442149e-05,600.0,7.184380054473877,10153.75924802554,13.130355834960938,12.311701226234437,222281.80021757376,,,,,,,,,,,,,,,,,,,,,,,,,
koq1bryk,coreml_p2_linear_ctx512,finished,2026-04-16T12:24:00Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/koq1bryk,,none,wikitext,512,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,linear,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,8,2,40,100,0.01,100,0.0003,coreml_p2_linear_ctx512,absolute,442.0,{'runtime': 442},3.0,12.0,1776342683.551017,3.0000550576730773e-05,1200.0,4.372395038604736,11763.886948630685,NaN,117.85482482910156,485165195.4097903,,,,,,,,,,,,,,,,,,,,,,,,,
r51ax5t6,coreml_p2_linear_ctx1024,finished,2026-04-16T12:31:37Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/r51ax5t6,,none,wikitext,1024,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,linear,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,1200,4,2,40,100,0.01,100,0.0003,coreml_p2_linear_ctx1024,absolute,442.0,{'runtime': 442},3.0,12.0,1776343139.680421,3.0000550576730773e-05,1200.0,4.370567798614502,11739.097610335426,NaN,NaN,485165195.4097903,,,,,,,,,,,,,,,,,,,,,,,,,
mfk85y0b,coreml_p2_linear_ctx2048,finished,2026-04-16T12:39:13Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/mfk85y0b,,none,wikitext,2048,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,linear,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,900,2,2,40,100,0.01,100,0.0003,coreml_p2_linear_ctx2048,absolute,346.0,{'runtime': 346},3.0,9.0,1776343500.4360125,3.000104093350147e-05,900.0,4.370575428009033,11417.005384642467,NaN,234.58189392089844,485165195.4097903,,,,,,,,,,,,,,,,,,,,,,,,,
z150s3ni,coreml_p2_linear_ctx4096,finished,2026-04-16T12:45:15Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/z150s3ni,,none,wikitext,4096,wikitext-2-raw-v1,300000,1200000.0,"[512, 1024, 2048]",42,384,0.1,6,6,linear,64,256,2,50257,4096,4,[],,True,,saidl-core-ml,True,1,600,1,2,40,100,0.01,100,0.0003,coreml_p2_linear_ctx4096,absolute,248.0,{'runtime': 248},3.0,6.0,1776343764.0778954,3.000266478442149e-05,600.0,4.135254383087158,10947.439577022718,NaN,251.3464382171631,485165195.4097903,,,,,,,,,,,,,,,,,,,,,,,,,
