suite,run_name,run_id,workdir,command,wandb_url,notes
core_ml,coreml_p2_gqa_ctx4096,0i87yv2e,core_ml,"python src/train.py experiment.name=coreml_p2_gqa_ctx4096 model=gqa pos_encoding=absolute conv=none data.context_length=4096 trainer.batch_size=1 trainer.max_steps=12000 trainer.eval_interval=500 trainer.eval_batches=40 trainer.checkpoint_interval=2500 seed=42 data.eval_context_lengths=[512,1024,2048] logging.wandb.tags=[final]",https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0i87yv2e,Grouped-query attention at context 4096
core_ml,coreml_p3_rope_train512,uz6g881m,core_ml,"python src/train.py experiment.name=coreml_p3_rope_train512 model=base pos_encoding=rope conv=none data.context_length=512 trainer.batch_size=8 trainer.max_steps=12000 trainer.eval_interval=500 trainer.eval_batches=40 trainer.checkpoint_interval=2500 seed=42 data.eval_context_lengths=[512,1024,2048] logging.wandb.tags=[final]",https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/uz6g881m,RoPE trained at context 512 with extrapolation eval
core_ml,coreml_p3_alibi_train512,38i0pnm1,core_ml,"python src/train.py experiment.name=coreml_p3_alibi_train512 model=base pos_encoding=alibi conv=none data.context_length=512 trainer.batch_size=8 trainer.max_steps=12000 trainer.eval_interval=500 trainer.eval_batches=40 trainer.checkpoint_interval=2500 seed=42 data.eval_context_lengths=[512,1024,2048] logging.wandb.tags=[final]",https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/38i0pnm1,ALiBi trained at context 512 with extrapolation eval
core_ml,coreml_p3_relative_train512,3b7o8z8s,core_ml,"python src/train.py experiment.name=coreml_p3_relative_train512 model=base pos_encoding=relative conv=none data.context_length=512 trainer.batch_size=8 trainer.max_steps=12000 trainer.eval_interval=500 trainer.eval_batches=40 trainer.checkpoint_interval=2500 seed=42 data.eval_context_lengths=[512,1024,2048] logging.wandb.tags=[final]",https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/3b7o8z8s,Relative positional encoding trained at context 512 with extrapolation eval
core_ml,coreml_p4_pre_attention_gqa_rope_ctx1024,e0lzy1ft,core_ml,"python src/train.py experiment.name=coreml_p4_pre_attention_gqa_rope_ctx1024 model=gqa pos_encoding=rope conv=pre_attention data.context_length=1024 trainer.batch_size=4 trainer.max_steps=12000 trainer.eval_interval=500 trainer.eval_batches=40 trainer.checkpoint_interval=2500 seed=42 data.eval_context_lengths=[512,1024,2048] logging.wandb.tags=[final]",https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/e0lzy1ft,Pre-attention Conv1D hybrid with GQA and RoPE
core_ml,coreml_p4_gated_ffn_gqa_rope_ctx1024,h03r0qck,core_ml,"python src/train.py experiment.name=coreml_p4_gated_ffn_gqa_rope_ctx1024 model=gqa pos_encoding=rope conv=gated_ffn data.context_length=1024 trainer.batch_size=4 trainer.max_steps=12000 trainer.eval_interval=500 trainer.eval_batches=40 trainer.checkpoint_interval=2500 seed=42 data.eval_context_lengths=[512,1024,2048] logging.wandb.tags=[final]",https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/h03r0qck,Gated convolutional FFN hybrid with GQA and RoPE
rl,rl_p1_mlp_seed42,orduqlzt,rl,python src/train.py experiment.name=rl_p1_mlp_seed42 agent=td3_mlp env=hopper_full seed=42 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/orduqlzt,Part 1 | MLP TD3 baseline | late deterioration
rl,rl_p1_mlp_seed43,12tb4cex,rl,python src/train.py experiment.name=rl_p1_mlp_seed43 agent=td3_mlp env=hopper_full seed=43 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/12tb4cex,Part 1 | MLP TD3 baseline | late deterioration
rl,rl_p1_mlp_seed44,xe1bvoqz,rl,python src/train.py experiment.name=rl_p1_mlp_seed44 agent=td3_mlp env=hopper_full seed=44 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/xe1bvoqz,Part 1 | MLP TD3 baseline | stable
rl,rl_p1_tr_L4_seed42,k4mmxrji,rl,python src/train.py experiment.name=rl_p1_tr_L4_seed42 agent=td3_transformer env=hopper_full seed=42 agent.actor.context_length=4 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/k4mmxrji,Part 1 | Transformer TD3 sweep | stable
rl,rl_p1_tr_L8_seed42,jcs1nkci,rl,python src/train.py experiment.name=rl_p1_tr_L8_seed42 agent=td3_transformer env=hopper_full seed=42 agent.actor.context_length=8 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/jcs1nkci,Part 1 | Transformer TD3 sweep | late deterioration
rl,rl_p1_tr_L16_seed42,d6s0vtx6,rl,python src/train.py experiment.name=rl_p1_tr_L16_seed42 agent=td3_transformer env=hopper_full seed=42 agent.actor.context_length=16 total_steps=1000000 eval_interval=10000 eval_episodes=10 logging.wandb.tags=[final] checkpoint_interval=10000 +resume=/kaggle/input/datasets/krish247/check-1/SAiDL_Assignment/rl/ckpt_latest_rl.pt,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/d6s0vtx6,Part 1 | Transformer TD3 sweep | stable/final-best
