suite,project,run_name,run_id,history_csv,history_rows,history_columns,wandb_url
rl,saidl-rl,rl_p2_hidden_vel_mlp_seed42,96m7x5eb,rl/report/data/histories/rl_p2_hidden_vel_mlp_seed42__96m7x5eb.csv,83,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/96m7x5eb
rl,saidl-rl,rl_p2_hidden_vel_tr_seed42,4hl8amlc,rl/report/data/histories/rl_p2_hidden_vel_tr_seed42__4hl8amlc.csv,100,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/4hl8amlc
rl,saidl-rl,rl_p2_noise01_mlp_seed42,lgmxbqai,rl/report/data/histories/rl_p2_noise01_mlp_seed42__lgmxbqai.csv,100,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/lgmxbqai
rl,saidl-rl,rl_p2_noise01_tr_seed42,3lt7il9g,rl/report/data/histories/rl_p2_noise01_tr_seed42__3lt7il9g.csv,67,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/3lt7il9g
rl,saidl-rl,rl_p2_noise03_mlp_seed42,anlzqstp,rl/report/data/histories/rl_p2_noise03_mlp_seed42__anlzqstp.csv,100,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/anlzqstp
rl,saidl-rl,rl_p2_noise03_tr_seed42,f4lc5xjg,rl/report/data/histories/rl_p2_noise03_tr_seed42__f4lc5xjg.csv,6,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/f4lc5xjg
rl,saidl-rl,rl_p2_delay10_mlp_seed42,523e0uha,rl/report/data/histories/rl_p2_delay10_mlp_seed42__523e0uha.csv,100,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/523e0uha
rl,saidl-rl,rl_p2_delay10_tr_seed42,hfiawzrg,rl/report/data/histories/rl_p2_delay10_tr_seed42__hfiawzrg.csv,100,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/hfiawzrg
rl,saidl-rl,rl_p2_delay30_mlp_seed42,15bzu83r,rl/report/data/histories/rl_p2_delay30_mlp_seed42__15bzu83r.csv,100,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/15bzu83r
rl,saidl-rl,rl_p2_delay30_tr_seed42,kkdfxotj,rl/report/data/histories/rl_p2_delay30_tr_seed42__kkdfxotj.csv,58,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/kkdfxotj
rl,saidl-rl,rl_p2_rlhf_tr_seed42,rvckskwt,rl/report/data/histories/rl_p2_rlhf_tr_seed42__rvckskwt.csv,100,9,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/rvckskwt
rl,saidl-rl,rl_p3_attn_support_full_seed42,78e2wcm0,rl/report/data/histories/rl_p3_attn_support_full_seed42__78e2wcm0.csv,57,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/78e2wcm0
rl,saidl-rl,rl_p3_attn_support_hidden_seed42,lwsokb8n,rl/report/data/histories/rl_p3_attn_support_hidden_seed42__lwsokb8n.csv,100,8,https://wandb.ai/krishsachdev246-bits-pilani/saidl-rl/runs/lwsokb8n
