setting,return_mean,return_std,entropy_mean,entropy_std
full,3327.7216681741606,8.082940350266187,0.5198682202756405,0.18722702731916607
hidden,235.24562303618137,76.75231812048821,0.29542466246163135,0.12748040871853153
