setting,run_id,run_name,state,logged_points,first_step,final_step,entropy_first,entropy_final,entropy_min,entropy_mean,effective_context_final,final_return,best_return,best_step
full,jx1lmi8i,rl_p3_attn_support_full_seed42,finished,100,10000,1000000,2.074652184682926,1.530953783555488,1.4459398241069092,1.5562929818461424,4.622583664662038,1397.5600895246585,3389.98121203438,990000
hidden,lap7edb6,rl_p3_attn_support_hidden_seed42,finished,100,10000,1000000,2.076060319484324,0.9192555135165876,0.6738655266858207,0.9624511715164599,2.507422952385295,296.3827258699792,993.2156110992752,90000
