_step,step,eval/return,eval/return_std,actor_loss,critic1_loss,critic2_loss,attention/entropy_mean,attention/entropy_std,attention/max_weight_mean,attention/effective_context_mean,attention/lag_0,attention/lag_1,attention/lag_2,attention/lag_3,attention/lag_4,attention/lag_5,attention/lag_6,attention/lag_7
10000.0,10000.0,8.03513562042545,0.2034135256180685,NaN,NaN,NaN,2.074652184682926,0.0008822576443946921,0.14701902842379846,7.961776749484395,0.13751728882223685,0.1253900517213087,0.1470190284237984,0.1051234864977387,0.12559271497062338,0.11862712504478605,0.12196323583850173,0.11876706868100623
20000.0,20000.0,7.8988365483548195,0.1479352793431068,NaN,NaN,NaN,2.07467923255902,0.0007493996583669573,0.14695172666473705,7.961992101547802,0.13752203176713979,0.12545958443313113,0.1469517266647371,0.1051034356835485,0.12551351604787866,0.11839898401353206,0.12217444366145166,0.11887627772858111
30000.0,30000.0,174.52610012952962,1.9439387298191106,-17.260812759399414,3.186962604522705,3.346270799636841,1.886378113263953,0.11112732072306072,0.297596384518936,6.59543744169634,0.2728131096784337,0.18030026844374009,0.08653836498977222,0.08709063680695261,0.08257388319621659,0.07654673051786974,0.08009937835324508,0.13403762801376962
40000.0,40000.0,218.47117930488412,4.063796555626126,-60.70488739013672,11.18436050415039,12.361640930175781,1.713235999355298,0.15517776604241787,0.35975965022946516,5.546882173442789,0.35400259283352514,0.19388954438804792,0.08182433650959359,0.09028333106016323,0.05366855202941284,0.049158761734880214,0.09845428007704579,0.07871860136733137
50000.0,50000.0,242.42973776630373,20.59038468677275,-90.2984619140625,31.937021255493164,29.322233200073242,1.6344704102646652,0.15887439529811231,0.3855246557456317,5.126742207914597,0.3794535663428678,0.19973173972349048,0.08760026595117432,0.06252128613840695,0.04292060314232578,0.05555145667303066,0.0936762923756301,0.07854478965307393
60000.0,60000.0,229.8285918955837,7.678150966708726,-113.79805755615234,19.175704956054688,16.20052719116211,1.5591433171766675,0.1413215383328085,0.4159552500676713,4.7547461904817245,0.40621445388141375,0.23913321519780353,0.05285896246144385,0.06303032742079967,0.043596239077818975,0.04350642195152961,0.09222252851938868,0.05943785148980219
70000.0,70000.0,238.58241069272793,22.762506777366628,-118.63589477539062,19.170989990234375,17.481456756591797,1.5106129490880207,0.21352769720624837,0.4717828719822123,4.529506300361394,0.4649686345006272,0.1459508563560021,0.04531353836381588,0.08202022198252579,0.04875450584483297,0.04665544780429147,0.07866626037629487,0.08767053477160965
80000.0,80000.0,331.6323396693459,15.456907508349834,-120.04389953613281,17.19338607788086,12.937356948852539,1.5300393108550459,0.17586156579890957,0.4733317080763419,4.618358370347799,0.4718222498076175,0.1342764993247438,0.06460158170305716,0.04884490805394117,0.10300775654523797,0.04443170132899844,0.046261717358334245,0.08675358587806987
90000.0,90000.0,351.2582434652498,51.43748355814293,-118.45140075683594,16.506994247436523,19.106189727783203,1.4620800511583987,0.2111668525258539,0.509092271635344,4.3149254660220056,0.5081743817041537,0.13802004081105165,0.07303362777137655,0.06530960094173448,0.06288163029013641,0.04692605128069902,0.04239220047796781,0.06326246672288059
100000.0,100000.0,566.5866250604568,86.37314301717079,-120.4892578125,12.970170974731445,8.225907325744629,1.5905058237835956,0.19121819217526448,0.4338495475366089,4.906229988600099,0.4314185094460255,0.15728126525616684,0.08896730100402057,0.08800473203186354,0.07212411330121987,0.057925124949063544,0.0400320403131799,0.06424691369846043
