_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779566616.247991,7.771668758,10000,NaN,NaN,NaN,2.171708900830759
1,1779566621.509449,13.032969369,20000,NaN,NaN,NaN,2.1125110331141825
2,1779566710.7658792,102.289362029,30000,-18.672401428222656,1.1439542770385742,1.1787015199661255,198.06432444907645
3,1779566882.6805308,274.204116462,40000,-61.68927764892578,12.664823532104492,12.712352752685547,208.30938897385914
4,1779567057.5855463,449.109126376,50000,-93.50515747070312,18.997669219970703,17.79553985595703,263.5342952461862
5,1779567227.8196983,619.343382565,60000,-126.20769500732422,11.638997077941895,11.475471496582031,286.13742349923774
6,1779567402.7617955,794.28546286,70000,-145.2267608642578,15.237298965454102,12.402009963989258,282.09106684906646
7,1779567576.6122904,968.135929419,80000,-149.90679931640625,28.90216827392578,27.981040954589844,332.82825784873063
8,1779567750.1879725,1141.71153849,90000,-151.61508178710938,18.395618438720703,21.63579750061035,297.26303615626864
9,1779567924.4956164,1316.019297536,100000,-167.29248046875,8.601960182189941,9.443717002868652,511.8199226134716
10,1779568097.9290504,1489.452570597,110000,-165.6134033203125,17.822904586791992,21.50708770751953,1002.6132582317923
11,1779568276.0987973,1667.622471263,120000,-178.91061401367188,13.83464527130127,12.541379928588867,1023.1393334447663
12,1779568451.6621237,1843.18573619,130000,-184.76600646972656,15.984964370727539,16.78622817993164,568.3979636509065
13,1779568626.4662764,2017.989806659,140000,-188.83985900878906,34.13398361206055,34.002342224121094,644.0574011596024
14,1779568803.5375223,2195.061173074,150000,-194.66683959960938,27.284833908081055,20.51254653930664,817.3347122508254
15,1779568988.5978034,2380.121349551,160000,-191.84640502929688,22.164424896240234,17.81617546081543,1936.3065585191002
16,1779569167.5511737,2559.074707065,170000,-199.9220733642578,20.658313751220703,20.906837463378906,1352.541188218648
17,1779569349.081643,2740.60527494,180000,-204.6294403076172,14.640336990356445,19.22335433959961,1559.4102869211488
18,1779569528.729538,2920.253088659,190000,-204.5071258544922,23.26608657836914,21.95993995666504,1180.2984119786777
19,1779569708.5941954,3100.11782253,200000,-205.32379150390625,55.76319885253906,55.749725341796875,1215.4663480950476
20,1779569891.057258,3282.580919378,210000,-201.75857543945312,11.828956604003906,16.37128257751465,1394.2093001406988
21,1779570083.000736,3474.524342214,220000,-209.83465576171875,60.582313537597656,70.73098754882812,2872.3112002376115
22,1779570270.2831428,3661.806671639,230000,-204.9776153564453,42.463531494140625,39.54492950439453,2855.012288991321
23,1779570456.264213,3847.788012383,240000,-205.53009033203125,27.587757110595703,21.04778289794922,2531.6423759927166
24,1779570634.5194342,4026.043007065,250000,-211.30459594726562,25.302173614501953,28.84656524658203,1093.5439938039874
25,1779570818.521162,4210.044759368,260000,-212.4189910888672,9.141279220581055,7.458720684051514,1743.9149422719142
26,1779570997.3264236,4388.850011478,270000,-218.0875244140625,9.475180625915527,6.927373886108398,1331.8240273443414
27,1779571175.8277214,4567.351288751,280000,-220.47186279296875,20.219058990478516,22.35663604736328,1420.30654675484
28,1779571355.9245157,4747.448119535,290000,-225.98226928710938,23.79286766052246,23.763898849487305,1261.7337363406457
29,1779571540.0513625,4931.575004787,300000,-231.45770263671875,13.07475471496582,10.622426986694336,2252.8400593255856
30,1779571722.630469,5114.154089215,310000,-231.6519775390625,20.71393585205078,16.569841384887695,2339.117323612965
31,1779571908.0706847,5299.59433601,320000,-230.29965209960938,9.704729080200195,7.797484397888184,2171.3983535569687
32,1779572101.4613798,5492.985005493,330000,-237.2607421875,11.51484489440918,14.557453155517578,3413.194259949674
33,1779572295.2659404,5686.78942402,340000,-229.54150390625,33.66725158691406,22.564453125,3344.3457172315443
34,1779572489.9986317,5881.522059365,350000,-243.62725830078125,11.698629379272461,11.130290985107422,3178.162036980254
35,1779572670.7491949,6062.272756068,360000,-248.37319946289062,11.519968032836914,14.462224006652832,1499.6641976926821
36,1779572855.0623438,6246.585836285,370000,-245.59780883789062,10.532524108886719,13.051021575927734,2762.131993569285
37,1779573029.9714115,6421.494928644,380000,-243.38259887695312,10.611434936523438,7.671561241149902,1326.539837888249
38,1779573217.916568,6609.440272833,390000,-246.55592346191406,18.577808380126953,17.469093322753906,3134.0822145159755
39,1779573405.866644,6797.39022221,400000,-240.08702087402344,9.723228454589844,11.419228553771973,3065.8852136911455
40,1779573595.4870636,6987.010777978,410000,-246.01080322265625,10.203985214233398,11.020841598510742,3402.261001669117
41,1779573783.307096,7174.830587492,420000,-239.5174560546875,26.948163986206055,38.75127410888672,3093.1435191049486
42,1779573971.2948546,7362.818356886,430000,-248.26242065429688,8.552172660827637,7.429798126220703,3232.9144418419555
43,1779574165.863424,7557.387036395,440000,-243.04180908203125,11.4440279006958,10.260793685913086,3428.647721580461
44,1779574356.1872516,7747.710880897,450000,-254.7766571044922,17.612167358398438,16.635822296142578,3379.4383642764856
45,1779574545.22682,7936.750473747,460000,-251.77401733398438,13.980971336364746,14.783252716064453,3467.9771389485004
46,1779574724.2913072,8115.814818056,470000,-257.43475341796875,9.660747528076172,8.415048599243164,1679.095921960755
47,1779574915.8415868,8307.365116755,480000,-257.5516662597656,12.489633560180664,9.555803298950195,3467.1799681103403
48,1779575107.3896542,8498.913236849,490000,-261.8057556152344,28.241758346557617,32.77684783935547,3429.567343084799
49,1779575295.258822,8686.782394769,500000,-264.07940673828125,18.31916618347168,11.112226486206055,3164.1463758184173
50,1779575479.58472,8871.108269947,510000,-256.16168212890625,11.777036666870117,13.90442943572998,3457.412534079277
51,1779575663.9731057,9055.496575093,520000,-259.3108215332031,7.245333671569824,5.0371294021606445,3439.5414390145284
52,1779575843.462814,9234.98633912,530000,-257.62628173828125,11.77900505065918,13.507842063903809,3048.866643853396
53,1779576025.2857633,9416.809294435,540000,-265.04632568359375,4.8364129066467285,4.772183418273926,3247.52906550428
54,1779576205.7664359,9597.289991581,550000,-253.6065673828125,34.314971923828125,38.44255065917969,3112.496970032105
55,1779576388.2263365,9779.749836994,560000,-263.31707763671875,7.562189102172852,5.176727771759033,3451.2959137859775
56,1779576571.5005093,9963.024091614,570000,-258.7007751464844,18.135791778564453,9.512311935424805,3478.2018831210335
57,1779576754.232265,10145.755745488,580000,-262.8446044921875,62.537723541259766,58.24565124511719,3396.473649489876
58,1779576936.079828,10327.603218957,590000,-272.2898254394531,25.528573989868164,25.229747772216797,3409.7887258648493
59,1779577116.7740443,10508.297571659,600000,-264.1565246582031,7.095216274261475,4.56617546081543,3275.1812939937467
60,1779577289.7400258,10681.263599741,610000,-269.08978271484375,12.453834533691406,11.55272102355957,2003.839710600901
61,1779577477.9387002,10869.462355152,620000,-267.9600830078125,8.610422134399414,6.0491251945495605,3435.7540428218003
62,1779577672.7258632,11064.249338804,630000,-264.75396728515625,7.3518524169921875,9.00622844696045,3423.2937235259806
63,1779577862.0936375,11253.617223258,640000,-266.9391784667969,6.835631370544434,6.519002914428711,2232.548821485806
64,1779578061.998779,11453.522288371,650000,-263.21197509765625,10.291358947753906,13.30150318145752,2940.5055629346707
65,1779578251.641204,11643.164779917,660000,-276.7618103027344,6.811159133911133,7.931089401245117,1945.339055546518
66,1779578454.4144955,11845.938025439,670000,-270.8084411621094,8.357566833496094,6.966346740722656,3585.753832357908
67,1779578657.092813,12048.616417841,680000,-272.2332763671875,7.487093925476074,5.006719589233398,3596.074975237735
68,1779578857.2292461,12248.752896199,690000,-274.47735595703125,9.08475112915039,8.780719757080078,3362.998321697094
69,1779579058.3502994,12449.873859411,700000,-279.63970947265625,6.110178470611572,6.234942436218262,3508.91929922466
70,1779579257.9376092,12649.461221565,710000,-276.1424560546875,10.866477012634277,9.460737228393555,3245.199385168468
71,1779579459.6907117,12851.214362696,720000,-277.3544921875,5.203289031982422,5.1692399978637695,3479.664416321239
72,1779579657.838635,13049.362076481,730000,-276.7674255371094,5.347808837890625,4.4656195640563965,2885.8672459893523
73,1779579860.575816,13252.099322767,740000,-275.5154724121094,6.754524230957031,4.540191650390625,3462.6839489462945
74,1779580052.5462933,13444.069847048,750000,-274.439697265625,14.973294258117676,18.605018615722656,2012.7456010662813
75,1779580239.296502,13630.820083465,760000,-275.8953857421875,9.39980697631836,11.029399871826172,3372.529416258452
76,1779580422.3504786,13813.874033599,770000,-279.8936767578125,16.920215606689453,30.188243865966797,3214.3919196202
77,1779580606.0500674,13997.57375493,780000,-274.74969482421875,11.975232124328613,8.778223991394043,3235.7045281852743
78,1779580786.025151,14177.54868502,790000,-268.62030029296875,8.258915901184082,9.65073013305664,2732.919136068572
79,1779580976.3840482,14367.907601751,800000,-272.79327392578125,8.20026969909668,6.813720226287842,3409.454084204117
80,1779581156.95759,14548.481153902,810000,-274.5919189453125,8.962715148925781,9.257232666015625,2627.578636447584
81,1779581343.0108936,14734.534462222,820000,-266.63616943359375,13.777767181396484,26.771045684814453,3562.2452021306462
