eval/best_return,step,attention/lag_2,attention/lag_5,q2_mean,_step,critic2_grad_norm,obs_norm/count,attention/entropy_std,eval/return_std,eval/return,critic_sequence_context,target_q_abs_max,_runtime,critic1_grad_norm,actor_loss,q1_mean,attention/lag_1,attention/lag_4,attention/lag_7,attention/entropy_mean,exploration/noise_std,eval/best_step,actor_grad_norm,target_noise_std,attention/max_weight_mean,target_q_mean,obs_norm/enabled,critic1_loss,q_gap_abs_mean,eval/final_minus_best,attention/lag_0,attention/lag_3,attention/lag_6,target_q_clipped_frac,critic2_loss,_timestamp,attention/effective_context_mean,target_noise_clip
339.12742081660605,225000,0.12201923428245695,0.09642332503987346,136.26315307617188,0,22.935388565063477,229177.0,0.19359333684249155,6.583894114821801,290.3042689786432,1,167.78736877441406,189.684194751,15.185853958129883,-138.67312622070312,136.242919921875,0.14928573664799807,0.1019232134367369,0.10457046566513266,1.4363805494585615,0.023333333333333338,200000,1.36385977268219,0.06666666666666668,0.41673463789425835,134.7317352294922,1,1.7120765447616577,0.4885241985321045,-48.823151837962826,0.21198610309511423,0.10890953072530639,0.10488240211419049,0,1.8048007488250732,1780635236.6662877,4.663022642302665,0.18333333333333335
339.12742081660605,230000,0.14140216505783285,0.08019980422765789,133.7517547607422,1,43.488731384277344,234221.0,0.19874218203883195,4.15563241018229,202.80399150380623,1,167.8277587890625,371.694571535,55.08386993408203,0.0,133.62176513671875,0.18607973926022142,0.09435313891530216,0.09071982911455179,1.4986506309100016,0.02266666666666667,200000,NaN,0.06583333333333333,0.40234487885962467,133.52294921875,1,0.46493637561798096,0.6851747035980225,-136.32342931279982,0.20427016896788708,0.11476726681477355,0.08820790007056115,0,0.4872020184993744,1780635418.6767695,4.847276116559605,0.18166666666666664
339.12742081660605,235000,0.13838901441373858,0.08215036604163889,137.75115966796875,2,15.069499969482422,239263.0,0.18748064697411454,8.52746466201666,266.4997129956228,1,166.910888671875,556.329946536,25.054553985595703,0.0,137.81272888183594,0.18460594339211003,0.09564512984802813,0.08201855576591068,1.5007937906516924,0.022000000000000006,200000,NaN,0.065,0.40346047776489474,137.80438232421875,1,0.2747591435909271,0.4267113208770752,-72.62770782098323,0.21456502962346172,0.11944306563902525,0.08318290657065565,0,0.22469687461853027,1780635603.312124,4.853316905841329,0.18
339.12742081660605,240000,0.1480629541653784,0.07527125170969184,135.82403564453125,3,29.512853622436523,244330.0,0.23663544481451845,6.589565532994804,192.29614945236864,1,170.74627685546875,741.898529061,47.93720626831055,-138.99893188476562,135.8658447265625,0.19749840298040428,0.08699979080664152,0.07977621238304293,1.4433676338675034,0.021333333333333336,200000,1.3238497972488403,0.06416666666666668,0.4189064815565569,135.70852661132812,1,1.1082210540771484,0.7010388374328613,-146.8312713642374,0.21690115798358342,0.11547134219102524,0.08001889924907205,0,1.2868189811706543,1780635788.8806417,4.656849183509098,0.17833333333333334
339.12742081660605,245000,0.13562326204188377,0.08199072066938208,136.27561950683594,4,27.971921920776367,249374.0,0.1824702773554521,182.06054365797104,225.2154073966084,1,176.5570526123047,927.389807577,25.6037540435791,0.0,136.1253662109375,0.1848875283411591,0.08949787749160325,0.10104648745836359,1.3925251568032202,0.02066666666666667,200000,NaN,0.06333333333333334,0.4380947827387636,136.13299560546875,1,0.2530063986778259,0.579890251159668,-113.91201341999763,0.20458207685918173,0.1120488659313349,0.090323191608311,0,0.316169798374176,1780635974.371952,4.391790387229385,0.17666666666666667
413.3729528329087,250000,0.1404061518812902,0.07638722842437688,141.3800048828125,5,28.769182205200195,254411.0,0.19116165259871867,20.98676806319982,413.3729528329087,1,179.98939514160156,1115.376315661,25.2360782623291,0.0,141.46385192871094,0.19104753127110782,0.09063226621865869,0.09242762948886135,1.4409607836155696,0.020000000000000004,250000,NaN,0.0625,0.41756262365336744,141.507568359375,1,0.21783092617988586,0.47994375228881836,0.0,0.21655911392719546,0.11049070588242357,0.0820493847863394,0,0.30480408668518066,1780636162.3585742,4.613444790541729,0.175
413.3729528329087,255000,0.13414453947799332,0.07656343207607792,138.49240112304688,6,28.397497177124023,259443.0,0.1526889011534864,141.68921348505154,198.49571384735765,1,183.08712768554688,1299.998379662,38.12237548828125,-140.92176818847656,137.7494354248047,0.18109377281228903,0.08687150040617968,0.1028107803676193,1.4344695306544941,0.019333333333333334,250000,1.2078980207443237,0.06166666666666667,0.42784483336681683,139.04168701171875,1,1.5392954349517822,1.2941032648086548,-214.87723898555106,0.23104958628452094,0.10621843624963268,0.08124796355785967,0,0.7993767857551575,1780636346.9805117,4.562038147779797,0.17333333333333334
413.3729528329087,260000,0.1436750341500189,0.0716593451783144,143.16580200195312,7,23.21755599975586,264480.0,0.1845177549465608,39.517326475364314,303.60327373030003,1,190.56539916992188,1487.74597986,22.361154556274414,0.0,142.99989318847656,0.19177332119208626,0.08561941505652054,0.08926060920330794,1.3911974769598354,0.01866666666666667,250000,NaN,0.060833333333333336,0.43963178295224264,142.33628845214844,1,1.0162625312805176,0.6738061904907227,-109.76967910260868,0.23490633402396122,0.10929798218662433,0.07380797032655091,0,1.0225187540054321,1780636534.7281923,4.432687893687683,0.17166666666666666
413.3729528329087,265000,0.13121792568100824,0.07462047723708329,148.3538818359375,8,27.031641006469727,269517.0,0.15164006348261178,34.12531341235555,345.64942434500176,1,194.7725830078125,1671.934253937,30.605327606201172,0.0,147.98165893554688,0.19901340776571522,0.08043264945072157,0.0818270083565127,1.3566451124791745,0.018000000000000002,250000,NaN,0.06,0.45319343039283044,147.2993621826172,1,0.9264028668403625,1.2760295867919922,-67.72352848790695,0.255007825827709,0.1015976756369626,0.07628304034609486,0,1.7795647382736206,1780636718.9164963,4.314553324204904,0.16999999999999998
449.46284617057154,270000,0.127826525699419,0.0789422562730825,142.85494995117188,9,45.2436408996582,274550.0,0.16270430006715333,25.8365754874172,449.46284617057154,1,199.0586395263672,1865.26973522,30.197025299072266,-145.3479461669922,142.78785705566406,0.18479272513261807,0.07797193760351208,0.10706689851735127,1.3787244434763746,0.01733333333333334,270000,1.8894144296646118,0.05916666666666667,0.43399944088501863,143.0487823486328,1,0.5919232368469238,0.7922826409339905,0.0,0.23408821020968765,0.09924877587041132,0.09006268139426454,0,0.5653718113899231,1780636912.2515767,4.3678001866261065,0.16833333333333333
