_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return
0,1779946108.1404223,212.546953294,950000,-123.99654388427734,137.65504455566406,129.28399658203125,234.97467711794098
1,1779946322.8209453,427.227447651,960000,-121.900634765625,108.4581298828125,106.42420196533203,376.6351184407488
2,1779946537.8106356,642.217104328,970000,-125.23542785644531,102.04479217529297,107.36995697021484,405.46085138953106
3,1779946755.6702976,860.07659645,980000,-125.75012969970703,104.25709533691406,100.95982360839844,327.3370615258318
4,1779946969.9732673,1074.379666774,990000,-126.47401428222656,52.914791107177734,48.24790954589844,331.93985017490644
5,1779947184.1247475,1288.531158467,1000000.0,-122.67323303222656,77.75666046142578,81.39424133300781,324.97733271556774
