critic1_loss,actor_loss,attention/effective_context_mean,step,attention/lag_7,_runtime,attention/lag_3,target_noise_clip,_timestamp,attention/entropy_std,attention/lag_2,obs_norm/enabled,target_q_abs_max,eval/return,obs_norm/count,actor_grad_norm,q1_mean,critic_sequence_context,eval/final_minus_best,attention/lag_5,attention/entropy_mean,critic1_grad_norm,_step,eval/return_std,target_q_mean,attention/lag_0,attention/max_weight_mean,exploration/noise_std,target_noise_std,critic2_loss,critic2_grad_norm,eval/best_step,attention/lag_4,q2_mean,q_gap_abs_mean,attention/lag_6,target_q_clipped_frac,eval/best_return,attention/lag_1
NaN,NaN,7.795127364455676,5000.0,0.1304996704346821,10.756241653,0.12996192710077176,,1780569568.1667662,0.0035157416508441366,0.12744880748576806,1,,7.377523985532437,5231.0,,,,0.0,0.1252621373802912,2.0534601563312966,,0,0.2533340126723154,,0.13422496103849568,0.1704158401880108,0.05,,NaN,,5000,0.1216930596799147,,,0.12262204100118308,,7.377523985532437,0.10828740790974899
NaN,NaN,7.794100844860077,10000.0,0.13074898018191258,15.72011921,0.13000420381625494,,1780569573.1308932,0.0034945580303213687,0.1273520236214002,1,,7.224565519019087,10459.0,,,,-0.15295846651334966,0.12543688702086608,2.0533296883106233,,1,0.08304751673158293,,0.13440056052058935,0.17029259726405144,0.05,,NaN,,5000,0.12160104010254144,,,0.12248067905505498,,7.377523985532437,0.10797563971330722
NaN,NaN,7.7933435207459985,15000.0,0.13041294959744787,20.134825472,0.13034836105941758,,1780569577.545342,0.0034846352186532112,0.1274388536083989,1,,7.236503158646215,15692.0,,,,-0.14102082688622186,0.12538832662309088,2.053233346318811,,2,0.22265253856264397,,0.13470460002015278,0.17013379289367334,0.05,,NaN,,5000,0.12184842154989398,,,0.12187373171734615,,7.377523985532437,0.10798476866590298
NaN,NaN,7.793001083532969,20000.0,0.1302645015840729,25.532640544,0.13040266024569672,,1780569582.9431202,0.0034284527542821582,0.12738074827939272,1,,7.104562236756453,20912.0,,,,-0.2729617487759839,0.12519741617143154,2.0531897087891897,,3,0.06582821741482979,,0.13499449497709673,0.1702573336660862,0.05,,NaN,,5000,0.12201693591972192,,,0.12169221726556619,,7.377523985532437,0.10805104157576959
NaN,NaN,7.793675548774152,25000.0,0.13041975977253323,29.88410886,0.13019572894188983,,1780569587.294601,0.0034521870154619215,0.1274845886452139,1,,7.219020055452778,26143.0,,,,-0.15850393007965913,0.1253418426745194,2.053275963491645,,4,0.17623015790418908,,0.13472454274488874,0.1701811890710484,0.05,,NaN,,5000,0.12180327876540255,,,0.12205625953506832,,7.377523985532437,0.10797401665409734
0.05754479020833969,-5.192261219024658,4.115887689160871,30000.0,0.06282192921719036,209.647362958,0.12206868491731249,0.24833333333333332,1780569767.0578418,0.17657103660945658,0.2376319562663903,1,10.905916213989258,38.12862534840902,31345.0,0.037608034908771515,4.5428266525268555,1.0,0.0,0.05691245466739208,1.327386170894176,1.4618812799453735,5,1.2379597732772387,4.433701038360596,0.14096205178144816,0.5493665803391654,0.04933333333333333,0.09916666666666667,0.041621848940849304,1.472444772720337,30000,0.06153478570752316,4.423325061798096,0.13140887022018433,0.07345155227996476,0.0,38.12862534840902,0.24461659668265162
0.020404517650604248,0,4.145073336481259,35000.0,0.06368672710824881,388.017807643,0.12452415754364816,0.24666666666666667,1780569945.4282691,0.133367058079613,0.18309404316130062,1,18.262481689453125,52.951039960504396,36530.0,NaN,10.341867446899414,1.0,0.0,0.0841383467002815,1.2808428110665833,3.164074659347534,6,0.7183858363058775,10.377549171447754,0.1413779017200928,0.5278730186208195,0.04866666666666667,0.09833333333333334,0.03132249414920807,2.500650405883789,35000,0.0666814177167534,10.37564468383789,0.163452610373497,0.09324298131076113,0.0,52.951039960504396,0.2432544364637097
0.0412803553044796,0,3.681795535264192,40000.0,0.08867441227044973,566.953178502,0.11587783550022025,0.245,1780570124.3636014,0.09972965036595288,0.19278455693713745,1,25.293264389038086,108.83110111626804,41648.0,NaN,17.025772094726562,1.0,0.0,0.08947889160628271,1.1425140215090228,2.3568825721740723,7,0.8524142695168928,16.993030548095703,0.16688238951042045,0.5846496557547187,0.048,0.0975,0.10591070353984833,5.877627372741699,40000,0.0693977318252578,17.080848693847656,0.2664070725440979,0.030624759596731728,0.0,108.83110111626804,0.24627943357032558
0.11514751613140106,-25.497451782226562,3.713692642314173,45000.0,0.0978355238166375,749.61262918,0.12426335740582649,0.24333333333333335,1780570307.0224357,0.09885101244522451,0.21447557173582502,1,32.71942901611328,169.88436137577276,46718.0,0.15165570378303528,24.138965606689453,1.0,0.0,0.07932131001096228,1.1539113327061936,13.654566764831543,8,1.9086639236585676,24.065956115722656,0.17285768210123748,0.5694394615285602,0.04733333333333334,0.09666666666666668,0.05255546420812607,5.381206512451172,45000,0.07009904506010609,24.090208053588867,0.2319173365831375,0.041402192844950655,0.0,169.88436137577276,0.19974532744267604
0.2693037986755371,0,3.7662290552803745,50000.0,0.028263377573079708,931.034616579,0.13203512761452443,0.24166666666666667,1780570488.444975,0.11487843450440069,0.1914571930180516,1,41.02081298828125,68.81816441897706,51808.0,NaN,30.854816436767578,1.0,-101.0661969567957,0.11695919789019085,1.1748446418826741,3.293487071990967,9,9.578270064770525,30.665420532226562,0.16487842301527658,0.5493156981647462,0.04666666666666667,0.09583333333333334,0.29605942964553833,3.4828169345855713,45000,0.08696289382930986,30.874435424804688,0.21750596165657043,0.029648540658236744,0.0,169.88436137577276,0.24979525662603833
