_step,_timestamp,_runtime,step,actor_loss,critic1_loss,critic2_loss,eval/return,reward_model_loss
0,1780003535.815908,9.812988092,10000,NaN,NaN,NaN,8.00348344364305,0.14904653087635583
1,1780003543.325441,17.32237248,20000,NaN,NaN,NaN,7.9277429926443075,0.0870874837740876
2,1780003649.0770564,123.074033523,30000,-16.618667602539062,3.2584168910980225,3.255337953567505,184.12517490626027,0.12826080454632321
3,1780003852.310894,326.307932592,40000,-54.66773986816406,4.358734130859375,6.1991424560546875,212.78681966343166,0.3036200820257108
4,1780004055.6886566,529.685566758,50000,-65.65663146972656,15.312816619873047,16.00896644592285,226.11156352223878,0.3552226083891471
5,1780004263.2883203,737.285265461,60000,-62.47689437866211,5.7290143966674805,5.956668853759766,279.2829338268705,0.36986056685066426
6,1780004472.564247,946.561312723,70000,-56.505775451660156,3.2554588317871094,3.2973217964172363,248.4933101911447,0.3552719288432402
7,1780004700.866654,1174.863570362,80000,-51.991722106933594,4.499481201171875,4.76429557800293,1004.8121685562741,0.3390999216556549
8,1780004912.7889936,1386.785922034,90000,-49.01646423339844,4.038784027099609,3.2737884521484375,367.09366126966125,0.32695012544916774
9,1780005135.965159,1609.962092642,100000,-44.849952697753906,4.273730754852295,3.6198816299438477,882.0542249671564,0.3135151726281856
10,1780005364.3676302,1838.364554387,110000,-38.73530578613281,1.3606560230255127,1.4823174476623535,998.5040709007578,0.30017148865343524
11,1780005574.4076862,2048.404544982,120000,-35.25962829589844,1.4264535903930664,1.2774019241333008,191.39486522118537,0.2905232477734592
12,1780005784.3262644,2258.323168313,130000,-34.08598327636719,1.4141900539398193,1.294880986213684,222.67039545738794,0.2828751401975751
13,1780005994.5915828,2468.588546698,140000,-30.76810073852539,1.9806642532348633,1.8391515016555786,324.9137670936683,0.2773175583896951
14,1780006206.3410199,2680.337916118,150000,-27.0736141204834,0.8353954553604126,0.7979832291603088,227.84071428482943,0.2730719226987797
15,1780006419.4156308,2893.412553058,160000,-23.090347290039062,0.9925509095191956,0.8634648323059082,270.8030808338566,0.2676445114016533
16,1780006631.3561375,3105.353058706,170000,-19.154090881347656,0.5432615280151367,0.5196449756622314,196.19386654567768,0.2615336067666229
17,1780006847.34261,3321.339590634,180000,-18.050504684448242,0.6093043684959412,0.6319544315338135,422.468187897104,0.2585525988007405
18,1780007059.8479917,3533.844847283,190000,-16.625152587890625,0.5683689117431641,0.5452144742012024,196.66540187184654,0.25142844278704035
19,1780007271.0498555,3745.046732226,200000,-14.992792129516602,0.6824390888214111,0.7593563795089722,210.70714328210835,0.24772408911606783
20,1780007481.481461,3955.47837917,210000,-14.699689865112305,0.7957640886306763,0.8123116493225098,193.25354368164304,0.24352448771433594
21,1780007711.139333,4185.136123121,220000,-14.405675888061523,0.6762171983718872,0.5610466003417969,1035.3297433462044,0.23730337809188343
22,1780007922.7846696,4396.781594542,230000,-14.042556762695312,0.636709451675415,0.5679473876953125,261.15358298437354,0.2325604182062178
23,1780008152.7405658,4626.737417655,240000,-11.999368667602539,0.41175541281700134,0.43839478492736816,987.1523619905623,0.22837798054218292
24,1780008395.7907605,4869.787681644,250000,-11.378877639770508,0.33494436740875244,0.3596341907978058,988.4843225313523,0.22445822283129915
25,1780008619.4008121,5093.39776765,260000,-12.214119911193848,0.45167219638824463,0.43566471338272095,219.0489632118998,0.21973717906768983
26,1780008848.6120212,5322.608993189,270000,-10.488672256469727,0.3096424341201782,0.3659229576587677,767.7191916621575,0.21607920033636535
27,1780009066.6609652,5540.657816804,280000,-9.194446563720703,0.290327787399292,0.27549654245376587,288.1065151363546,0.2132592740548703
28,1780009290.425276,5764.422382544,290000,-9.004581451416016,0.5414663553237915,0.5097171068191528,166.07297240345935,0.21111329603818593
29,1780009513.788543,5987.785426683,300000,-7.87080717086792,0.2914057970046997,0.26831960678100586,134.40606958335746,0.20794085382067506
30,1780009730.892733,6204.889600383,310000,-7.823412895202637,0.262614369392395,0.27282246947288513,145.96759821852532,0.20647410394102458
31,1780009947.3047497,6421.301687793,320000,-6.497814178466797,0.18455657362937927,0.16983789205551147,209.1055263401575,0.20506344262063503
32,1780010164.481647,6638.478571634,330000,-6.684202194213867,0.24690434336662292,0.22735115885734558,174.69736451715644,0.20484494018365174
33,1780010384.8924096,6858.889478944,340000,-5.9496870040893555,0.3245965540409088,0.3150995075702667,161.32743211319976,0.20357754966331731
34,1780010603.0797698,7077.076663516,350000,-7.017279624938965,0.2677052915096283,0.23175883293151855,188.57075200498647,0.2006324067589243
35,1780010819.719401,7293.716260848,360000,-6.075517177581787,0.30779820680618286,0.307475209236145,208.42495430493847,0.2006004303865932
36,1780011033.7727456,7507.769567315,370000,-6.014285087585449,0.38546985387802124,0.3833005428314209,99.4983603835577,0.19943009535464726
37,1780011249.6320481,7723.628882649,380000,-5.747625350952148,0.25995445251464844,0.2636837661266327,281.33049874556815,0.199101119338914
38,1780011463.425524,7937.422366603,390000,-6.068974494934082,0.2300991714000702,0.2281406819820404,52.349816763222954,0.19702296421019844
39,1780011679.1603296,8153.157179272,400000,-6.64739990234375,0.17178069055080414,0.16584564745426178,292.4543878906574,0.19691954597949982
40,1780011896.0544617,8370.051468363,410000,-6.848240852355957,0.199314147233963,0.18510782718658447,282.4051256922372,0.19576678856667806
41,1780012121.7914703,8595.788396365,420000,-6.49215030670166,0.23719850182533264,0.2170458287000656,594.4668758132086,0.19469410073327661
42,1780012337.9735286,8811.970417264,430000,-6.287666320800781,0.17110130190849304,0.21611562371253967,192.48180751484637,0.1931224906905776
43,1780012552.5168664,9026.513777508,440000,-5.780559539794922,0.26496750116348267,0.20880094170570374,174.915480472841,0.19248728404702525
