_step,_timestamp,_runtime,step,extrap/loss_L1024,extrap/loss_L2048,extrap/loss_L512,extrap/ppl_L1024,extrap/ppl_L2048,extrap/ppl_L512,optim/lr,stability/grad_norm,stability/train_loss_is_finite,stability/val_loss_is_finite,system/inference_tokens_per_sec,system/peak_gpu_mem_gb,system/sec_per_virtual_epoch,system/tokens_per_sec,system/virtual_epoch,train/loss,val/best_loss,val/best_perplexity,val/best_step,val/loss,val/perplexity
0,1779365306.2529569,23.236145834,1,,,,,,,6e-07,2.9846794605255127,1,1,86292.10894103479,3.39847993850708,228077.99091672897,5450.6840006929215,3.2947735007956877e-06,10.886148452758789,10.904779767990112,54435.93409491381,1,10.904779767990112,54435.93409491381
1,1779365391.2486308,108.231452837,500,,,,,,,0.0003,0.8205856084823608,1,1,85899.78022928884,3.6472105979919434,51916.40788223839,23945.82188390034,0.001647386750397844,6.215884685516357,6.15470335483551,470.92712348436396,500,6.15470335483551,470.92712348436396
2,1779365476.2540092,193.236896811,1000,,,,,,,0.000298747619491258,0.8643336892127991,1,1,85856.63464824828,3.6472105979919434,51776.12229824018,24010.70224685896,0.003294773500795688,5.341999053955078,5.4938706994056705,243.19672881508166,1000,5.4938706994056705,243.19672881508166
3,1779365561.3689525,278.352183854,1500,,,,,,,0.00029500377892902453,0.8196216821670532,1,1,85750.62004459466,3.6472105979919434,51737.3037344869,24028.717506809775,0.004942160251193531,5.129070281982422,5.234490406513214,187.63346518545134,1500,5.234490406513214,187.63346518545134
4,1779365646.6677983,363.650839152,2000,,,,,,,0.0002888382139419393,1.106827735900879,1,1,85673.56249877921,3.6472105979919434,51736.59669098318,24029.045888452605,0.006589547001591376,4.864384651184082,4.881480467319489,131.82568310612697,2000,4.881480467319489,131.82568310612697
5,1779365733.574625,450.557971796,2500,,,,,,,0.0002803657773400148,0.948796808719635,1,1,85319.75042628813,3.6472105979919434,51940.05692621346,23934.919011853894,0.00823693375198922,4.534242153167725,4.791484940052032,120.4801416846174,2500,4.791484940052032,120.4801416846174
6,1779365818.8524418,535.835332145,3000,,,,,,,0.0002697442945866792,1.085191249847412,1,1,85580.44442902811,3.6472105979919434,51910.23358639948,23948.67004269683,0.009884320502387063,4.514904499053955,4.551153039932251,94.74158619172606,3000,4.551153039932251,94.74158619172606
7,1779365903.9252715,620.908114955,3500,,,,,,,0.0002571716238090099,1.115561842918396,1,1,85695.0926949028,3.6472105979919434,51874.38779448768,23965.218846054584,0.011531707252784908,4.492747783660889,4.498777616024017,89.90716302707686,3500,4.498777616024017,89.90716302707686
8,1779365989.1489477,706.131813632,4000,,,,,,,0.00024288197007518844,1.1266840696334839,1,1,85903.05143402667,3.6472105979919434,51854.65843533063,23974.336993279114,0.013179094003182752,4.337207317352295,4.429156148433686,83.8606211274133,4000,4.429156148433686,83.8606211274133
9,1779366074.5020177,791.485042266,4500,,,,,,,0.00022714152259721256,1.1389490365982056,1,1,85184.92111248999,3.6472105979919434,51850.54499592612,23976.23894016305,0.014826480753580595,3.846362590789795,4.3574848651885985,78.06055449619369,4500,4.3574848651885985,78.06055449619369
10,1779366160.393995,877.376945122,5000,,,,,,,0.00021024349612952672,1.194009780883789,1,1,85969.53006883571,3.6472105979919434,51988.60804600773,23912.566670372038,0.01647386750397844,3.719027042388916,4.3574848651885985,78.06055449619369,4500,4.358812713623047,78.1642759292049
11,1779366246.3813438,963.364099957,5500,,,,,,,0.0001925026689329299,1.3318850994110107,1,1,85786.618185946,3.6472105979919434,51903.07235157191,23951.974318189852,0.018121254254376284,3.6630499362945557,4.343004667758942,76.93836661459106,5500,4.343004667758942,76.93836661459106
12,1779366332.4429238,1049.425867003,6000,,,,,,,0.0001742495190511606,1.2879012823104858,1,1,85678.74166681615,3.6472105979919434,51932.878552618466,23938.22739366175,0.019768641004774126,3.774434804916382,4.302985763549804,73.9201726933162,6000,4.302985763549804,73.9201726933162
