Comparison,GT final,RLHF final,Final drop,GT best,RLHF best,Reward loss
Transformer L=8 baseline,1778.8,155.6,1623.2,3377.4,1035.3,0.184
Attention-support full repeat,3321.9,155.6,3166.4,3442.7,1035.3,0.184
