setting,run_id,logged_points,step_range,train_entropy_first,train_entropy_final,train_entropy_min,effective_context_final,history_final_return,history_best_return,history_best_step,rollout_return_mean,rollout_return_std,rollout_entropy_mean
full,jx1lmi8i,100,10000-1000000,2.075,1.531,1.446,4.62,1397.6,3390.0,990000,3327.7,8.1,0.52
hidden,lap7edb6,100,10000-1000000,2.076,0.919,0.674,2.51,296.4,993.2,90000,235.2,76.8,0.295
