setting,lag_0,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
full,0.4507,0.1432,0.0768,0.054,0.0589,0.0396,0.0809,0.0959
hidden,0.7322,0.0155,0.103,0.0136,0.0207,0.0255,0.0355,0.0542
